input_text	target_text
▁oma ▁aka ▁rewinmis ▁areska ▁rewinmis	▁oma ▁aka ▁rewinmis ▁areska ▁rewinmis
▁ainka ▁rew ini	▁ainka ▁rew ini
▁bewá ▁ika ▁rewinmis	▁bewá ▁ika ▁rewinmis
▁noa ▁i bake ▁ono ▁choron ▁choron ▁maya ▁maya ▁ake tani	▁noa ▁i bake ▁ono ▁choron ▁choron ▁maya ▁maya ▁ake tani
▁j os é ▁an t oni o betan	▁j os é ▁an t oni o betan
▁he mos ▁he cho ▁d an za r ▁a ▁j os é ▁an t oni o	▁he mos ▁he cho ▁d an za r ▁a ▁j os é ▁an t oni o
▁ah ▁sí	▁ah ▁sí
▁chi cha ▁de ▁maiz	▁chi cha ▁de ▁maiz
▁xe kima ▁heki	▁xe kima ▁heki
▁heki	▁heki
▁shipibo ▁akai ▁xe ki	▁shipibo ▁akai ▁xe ki
▁está ▁to man do ▁miná	▁está ▁to man do ▁miná
▁oma	▁oma
▁mi ▁shinanai ▁beba bo	▁mi ▁shinanai ▁beba bo
▁westiora ▁wewa ▁akasi ri ▁nato	▁westiora ▁wewa ▁akasi ri ▁nato
▁westi wan ▁wewa ma kasi ▁noa	▁westi wan ▁wewa ma kasi ▁noa
▁i banon ▁ochi ▁ikin tani	▁i banon ▁ochi ▁ikin tani
▁wistewan ▁wewa	▁wistewan ▁wewa
▁wewa ▁wistewan ▁awe ▁chi bí	▁wewa ▁wistewan ▁awe ▁chi bí
▁yoashi ▁honi	▁yoashi ▁honi
▁kikin ▁yoashi ▁honi ▁ka ▁oa ▁ika ▁a ▁shipibo res ▁yoashi	▁kikin ▁yoashi ▁honi ▁ka ▁oa ▁ika ▁a ▁shipibo res ▁yoashi
▁noa ▁isko ▁mera	▁noa ▁isko ▁mera
▁awen	▁awen
▁awen ▁ane	▁awen ▁ane
▁abi ▁ka ▁yoashi ▁yoashi	▁abi ▁ka ▁yoashi ▁yoashi
▁oni ▁yoashi ▁ka	▁oni ▁yoashi ▁ka
▁ha ▁honi ronki ▁ka ▁akai ▁ha	▁ha ▁honi ronki ▁ka ▁akai ▁ha
▁nato ▁paranta ▁ka	▁nato ▁paranta ▁ka
▁nato ▁banatanwe ▁a ▁paranta ▁a	▁nato ▁banatanwe ▁a ▁paranta ▁a
▁a ▁bimi ▁ka ▁bimi ▁bimi ▁bimi	▁a ▁bimi ▁ka ▁bimi ▁bimi ▁bimi
▁ha ▁kai ▁behon	▁ha ▁kai ▁behon
▁a ▁atsa ▁bana ti ▁ka ▁tapun ▁bana	▁a ▁atsa ▁bana ti ▁ka ▁tapun ▁bana
▁atsa ▁pusi ▁pusi ▁pusi	▁atsa ▁pusi ▁pusi ▁pusi
▁una ▁ra i z ▁pusi	▁una ▁ra i z ▁pusi
▁a ▁banatanwe ▁a ▁atsa ▁banakin	▁a ▁banatanwe ▁a ▁atsa ▁banakin
▁pa yo resai	▁pa yo resai
▁paranta ▁bana ▁ika ▁oshin ▁kai ▁pa yo resi	▁paranta ▁bana ▁ika ▁oshin ▁kai ▁pa yo resi
▁ka ▁poa	▁ka ▁poa
